slot,local,half_local,best_odd_cycle_len_at_slot,internal_g60_half_flip_distance,signed_distance,baseline_distance,actual_delta_signed_minus_baseline,shortcut_delta_best_odd_minus_internal
0,0,30,3,4,3,4,-1,-1
0,1,31,3,3,3,3,0,0
0,2,32,3,2,2,2,0,1
0,3,33,3,3,3,3,0,0
0,4,34,3,4,3,4,-1,-1
0,5,35,3,6,3,6,-3,-3
0,6,36,3,4,3,4,-1,-1
0,7,37,3,2,2,2,0,1
0,8,38,3,2,2,2,0,1
0,9,39,3,4,3,4,-1,-1
0,10,40,3,2,2,2,0,1
0,11,41,3,3,3,3,0,0
0,12,42,3,4,3,4,-1,-1
0,13,43,3,4,3,4,-1,-1
0,14,44,3,3,3,3,0,0
0,15,45,3,2,2,2,0,1
0,16,46,3,3,3,3,0,0
0,17,47,3,4,3,4,-1,-1
0,18,48,3,4,3,4,-1,-1
0,19,49,3,3,3,3,0,0
0,20,50,3,2,2,2,0,1
0,21,51,3,3,3,3,0,0
0,22,52,3,4,3,4,-1,-1
0,23,53,3,4,3,4,-1,-1
0,24,54,3,3,3,3,0,0
0,25,55,3,2,2,2,0,1
0,26,56,3,3,3,3,0,0
0,27,57,3,4,3,4,-1,-1
0,28,58,3,4,3,4,-1,-1
0,29,59,3,3,3,3,0,0
0,30,0,3,4,3,4,-1,-1
0,31,1,3,3,3,3,0,0
0,32,2,3,2,2,2,0,1
0,33,3,3,3,3,3,0,0
0,34,4,3,4,3,4,-1,-1
0,35,5,3,6,3,6,-3,-3
0,36,6,3,4,3,4,-1,-1
0,37,7,3,2,2,2,0,1
0,38,8,3,2,2,2,0,1
0,39,9,3,4,3,4,-1,-1
0,40,10,3,2,2,2,0,1
0,41,11,3,3,3,3,0,0
0,42,12,3,4,3,4,-1,-1
0,43,13,3,4,3,4,-1,-1
0,44,14,3,3,3,3,0,0
0,45,15,3,2,2,2,0,1
0,46,16,3,3,3,3,0,0
0,47,17,3,4,3,4,-1,-1
0,48,18,3,4,3,4,-1,-1
0,49,19,3,3,3,3,0,0
0,50,20,3,2,2,2,0,1
0,51,21,3,3,3,3,0,0
0,52,22,3,4,3,4,-1,-1
0,53,23,3,4,3,4,-1,-1
0,54,24,3,3,3,3,0,0
0,55,25,3,2,2,2,0,1
0,56,26,3,3,3,3,0,0
0,57,27,3,4,3,4,-1,-1
0,58,28,3,4,3,4,-1,-1
0,59,29,3,3,3,3,0,0
1,0,30,3,4,3,4,-1,-1
1,1,31,3,3,3,3,0,0
1,2,32,3,2,2,2,0,1
1,3,33,3,3,3,3,0,0
1,4,34,3,4,3,4,-1,-1
1,5,35,3,6,3,6,-3,-3
1,6,36,3,4,3,4,-1,-1
1,7,37,3,2,2,2,0,1
1,8,38,3,2,2,2,0,1
