variant,slot,local,half_local,signed_distance,baseline_distance,actual_delta,best_odd_cycle_len_at_slot,odd_cycle_count_containing_slot,has_odd_triangle
original,0,0,30,3,4,-1,3,2930,True
original,0,1,31,3,3,0,3,2930,True
original,0,2,32,2,2,0,3,2930,True
original,0,3,33,3,3,0,3,2930,True
original,0,4,34,3,4,-1,3,2930,True
original,0,5,35,3,6,-3,3,2930,True
original,0,6,36,3,4,-1,3,2930,True
original,0,7,37,2,2,0,3,2930,True
original,0,8,38,2,2,0,3,2930,True
original,0,9,39,3,4,-1,3,2930,True
original,0,10,40,2,2,0,3,2930,True
original,0,11,41,3,3,0,3,2930,True
original,0,12,42,3,4,-1,3,2930,True
original,0,13,43,3,4,-1,3,2930,True
original,0,14,44,3,3,0,3,2930,True
original,0,15,45,2,2,0,3,2930,True
original,0,16,46,3,3,0,3,2930,True
original,0,17,47,3,4,-1,3,2930,True
original,0,18,48,3,4,-1,3,2930,True
original,0,19,49,3,3,0,3,2930,True
original,0,20,50,2,2,0,3,2930,True
original,0,21,51,3,3,0,3,2930,True
original,0,22,52,3,4,-1,3,2930,True
original,0,23,53,3,4,-1,3,2930,True
original,0,24,54,3,3,0,3,2930,True
original,0,25,55,2,2,0,3,2930,True
original,0,26,56,3,3,0,3,2930,True
original,0,27,57,3,4,-1,3,2930,True
original,0,28,58,3,4,-1,3,2930,True
original,0,29,59,3,3,0,3,2930,True
original,0,30,0,3,4,-1,3,2930,True
original,0,31,1,3,3,0,3,2930,True
original,0,32,2,2,2,0,3,2930,True
original,0,33,3,3,3,0,3,2930,True
original,0,34,4,3,4,-1,3,2930,True
original,0,35,5,3,6,-3,3,2930,True
original,0,36,6,3,4,-1,3,2930,True
original,0,37,7,2,2,0,3,2930,True
original,0,38,8,2,2,0,3,2930,True
original,0,39,9,3,4,-1,3,2930,True
original,0,40,10,2,2,0,3,2930,True
original,0,41,11,3,3,0,3,2930,True
original,0,42,12,3,4,-1,3,2930,True
original,0,43,13,3,4,-1,3,2930,True
original,0,44,14,3,3,0,3,2930,True
original,0,45,15,2,2,0,3,2930,True
original,0,46,16,3,3,0,3,2930,True
original,0,47,17,3,4,-1,3,2930,True
original,0,48,18,3,4,-1,3,2930,True
original,0,49,19,3,3,0,3,2930,True
original,0,50,20,2,2,0,3,2930,True
original,0,51,21,3,3,0,3,2930,True
original,0,52,22,3,4,-1,3,2930,True
original,0,53,23,3,4,-1,3,2930,True
original,0,54,24,3,3,0,3,2930,True
original,0,55,25,2,2,0,3,2930,True
original,0,56,26,3,3,0,3,2930,True
original,0,57,27,3,4,-1,3,2930,True
original,0,58,28,3,4,-1,3,2930,True
original,0,59,29,3,3,0,3,2930,True
original,1,0,30,3,4,-1,3,2930,True
original,1,1,31,3,3,0,3,2930,True
original,1,2,32,2,2,0,3,2930,True
original,1,3,33,3,3,0,3,2930,True
original,1,4,34,3,4,-1,3,2930,True
original,1,5,35,3,6,-3,3,2930,True
original,1,6,36,3,4,-1,3,2930,True
original,1,7,37,2,2,0,3,2930,True
original,1,8,38,2,2,0,3,2930,True
original,1,9,39,3,4,-1,3,2930,True
original,1,10,40,2,2,0,3,2930,True
original,1,11,41,3,3,0,3,2930,True
original,1,12,42,3,4,-1,3,2930,True
original,1,13,43,3,4,-1,3,2930,True
original,1,14,44,3,3,0,3,2930,True
original,1,15,45,2,2,0,3,2930,True
original,1,16,46,3,3,0,3,2930,True
original,1,17,47,3,4,-1,3,2930,True
original,1,18,48,3,4,-1,3,2930,True
original,1,19,49,3,3,0,3,2930,True
original,1,20,50,2,2,0,3,2930,True
original,1,21,51,3,3,0,3,2930,True
original,1,22,52,3,4,-1,3,2930,True
original,1,23,53,3,4,-1,3,2930,True
original,1,24,54,3,3,0,3,2930,True
original,1,25,55,2,2,0,3,2930,True
original,1,26,56,3,3,0,3,2930,True
original,1,27,57,3,4,-1,3,2930,True
original,1,28,58,3,4,-1,3,2930,True
original,1,29,59,3,3,0,3,2930,True
original,1,30,0,3,4,-1,3,2930,True
original,1,31,1,3,3,0,3,2930,True
original,1,32,2,2,2,0,3,2930,True
original,1,33,3,3,3,0,3,2930,True
original,1,34,4,3,4,-1,3,2930,True
original,1,35,5,3,6,-3,3,2930,True
original,1,36,6,3,4,-1,3,2930,True
original,1,37,7,2,2,0,3,2930,True
original,1,38,8,2,2,0,3,2930,True
original,1,39,9,3,4,-1,3,2930,True
original,1,40,10,2,2,0,3,2930,True
original,1,41,11,3,3,0,3,2930,True
original,1,42,12,3,4,-1,3,2930,True
original,1,43,13,3,4,-1,3,2930,True
original,1,44,14,3,3,0,3,2930,True
original,1,45,15,2,2,0,3,2930,True
original,1,46,16,3,3,0,3,2930,True
original,1,47,17,3,4,-1,3,2930,True
original,1,48,18,3,4,-1,3,2930,True
original,1,49,19,3,3,0,3,2930,True
original,1,50,20,2,2,0,3,2930,True
original,1,51,21,3,3,0,3,2930,True
original,1,52,22,3,4,-1,3,2930,True
original,1,53,23,3,4,-1,3,2930,True
original,1,54,24,3,3,0,3,2930,True
original,1,55,25,2,2,0,3,2930,True
original,1,56,26,3,3,0,3,2930,True
original,1,57,27,3,4,-1,3,2930,True
original,1,58,28,3,4,-1,3,2930,True
original,1,59,29,3,3,0,3,2930,True
original,2,0,30,3,4,-1,3,2898,True
original,2,1,31,3,3,0,3,2898,True
original,2,2,32,2,2,0,3,2898,True
original,2,3,33,3,3,0,3,2898,True
original,2,4,34,3,4,-1,3,2898,True
original,2,5,35,3,6,-3,3,2898,True
original,2,6,36,3,4,-1,3,2898,True
original,2,7,37,2,2,0,3,2898,True
original,2,8,38,2,2,0,3,2898,True
original,2,9,39,3,4,-1,3,2898,True
original,2,10,40,2,2,0,3,2898,True
original,2,11,41,3,3,0,3,2898,True
original,2,12,42,3,4,-1,3,2898,True
original,2,13,43,3,4,-1,3,2898,True
original,2,14,44,3,3,0,3,2898,True
original,2,15,45,2,2,0,3,2898,True
original,2,16,46,3,3,0,3,2898,True
original,2,17,47,3,4,-1,3,2898,True
