name,odd_triangle_count,odd_slot_count,toggle_edges,mean_actual_delta,compressed_count,unchanged_count,expanded_count,delta_counts
sample_0001,0,0,"[[0, 1], [0, 4], [1, 2], [2, 3], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0002,0,0,"[[0, 1], [0, 4], [1, 2], [2, 3], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0003,0,0,"[[0, 1], [0, 4], [1, 2], [2, 3], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0004,0,0,"[[0, 1], [0, 4], [1, 2], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0005,0,0,"[[0, 1], [0, 4], [1, 2], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0006,0,0,"[[0, 1], [0, 4], [1, 2], [2, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0007,0,0,"[[0, 1], [0, 4], [1, 2], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0008,0,0,"[[0, 1], [0, 4], [1, 2], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0009,0,0,"[[0, 1], [0, 4], [1, 2], [3, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0010,0,0,"[[0, 1], [0, 4], [1, 7], [2, 3], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0011,0,0,"[[0, 1], [0, 4], [1, 7], [2, 3], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0012,0,0,"[[0, 1], [0, 4], [1, 7], [2, 3], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0013,0,0,"[[0, 1], [0, 4], [1, 7], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0014,0,0,"[[0, 1], [0, 4], [1, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0015,0,0,"[[0, 1], [0, 4], [1, 7], [2, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0016,0,0,"[[0, 1], [0, 4], [1, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0017,0,0,"[[0, 1], [0, 4], [1, 7], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0018,0,0,"[[0, 1], [0, 4], [1, 7], [3, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0019,0,0,"[[0, 1], [0, 4], [2, 3], [2, 7], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0020,0,0,"[[0, 1], [0, 4], [2, 3], [2, 7], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0021,0,0,"[[0, 1], [0, 4], [2, 3], [2, 7], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0022,0,0,"[[0, 1], [0, 4], [2, 7], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0023,0,0,"[[0, 1], [0, 4], [2, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0024,0,0,"[[0, 1], [0, 4], [2, 7], [2, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0025,0,0,"[[0, 1], [0, 4], [2, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0026,0,0,"[[0, 1], [0, 4], [2, 7], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0027,0,0,"[[0, 1], [0, 4], [2, 7], [3, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0028,0,0,"[[0, 1], [0, 5], [1, 2], [2, 3], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0029,0,0,"[[0, 1], [0, 5], [1, 2], [2, 3], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0030,0,0,"[[0, 1], [0, 5], [1, 2], [2, 3], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0031,0,0,"[[0, 1], [0, 5], [1, 2], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0032,0,0,"[[0, 1], [0, 5], [1, 2], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0033,0,0,"[[0, 1], [0, 5], [1, 2], [2, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0034,0,0,"[[0, 1], [0, 5], [1, 2], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0035,0,0,"[[0, 1], [0, 5], [1, 2], [3, 8], [5, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0036,0,0,"[[0, 1], [0, 5], [1, 2], [3, 8], [10, 14]]",-0.04888888888888889,22,878,0,"{""-2"": 22, ""0"": 878}"
sample_0037,0,0,"[[0, 1], [0, 5], [1, 7], [2, 3], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0038,0,0,"[[0, 1], [0, 5], [1, 7], [2, 3], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0039,0,0,"[[0, 1], [0, 5], [1, 7], [2, 3], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0040,0,0,"[[0, 1], [0, 5], [1, 7], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0041,0,0,"[[0, 1], [0, 5], [1, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0042,0,0,"[[0, 1], [0, 5], [1, 7], [2, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0043,0,0,"[[0, 1], [0, 5], [1, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0044,0,0,"[[0, 1], [0, 5], [1, 7], [3, 8], [5, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0045,0,0,"[[0, 1], [0, 5], [1, 7], [3, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0046,0,0,"[[0, 1], [0, 5], [2, 3], [2, 7], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0047,0,0,"[[0, 1], [0, 5], [2, 3], [2, 7], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0048,0,0,"[[0, 1], [0, 5], [2, 3], [2, 7], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}"
sample_0049,0,0,"[[0, 1], [0, 5], [2, 7], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0050,0,0,"[[0, 1], [0, 5], [2, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0051,0,0,"[[0, 1], [0, 5], [2, 7], [2, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
sample_0052,0,0,"[[0, 1], [0, 5], [2, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
